Author,Total commits,Total empty message commits,Files added,Files modified,Files deleted,Directories added,Directories modified,Directories deleted
m349540,941,397,32053,1928,380,24747,0,487
6622284,1457,2,18683,2267,47,10729,5,151
m327838,1157,314,11408,5362,702,6769,0,203
ex4d4,4289,531,10142,15308,990,6478,257,597
m123156,302,281,8386,1556,71,5605,1,81
m091959,114,61,7270,97,1,2118,0,1
ex4e5,1338,267,5515,7144,656,3331,6,124
6320644,135,8,4030,123,0,3319,0,39
e4297193,97,46,3969,969,146,1699,2,26
ex4h5,742,640,3711,2638,256,1786,0,108
exw93,492,65,3012,1561,45,1823,4,48
m170017,622,130,2984,2405,149,1908,2,69
exl98,644,111,2757,2404,101,1538,230,46
ex1d1,643,16,2740,2703,274,1623,16,145
klm18060,683,105,2729,2224,188,1871,1,74
x071862,994,60,2640,1574,150,1568,1,102
klm27133,1069,522,2572,2596,125,1814,0,40
ex4e4,759,79,2542,3082,299,1687,0,37
e3671773,272,123,2415,799,103,1702,23,48
m415521,107,48,1882,672,95,1089,263,36
klm93596,564,56,1592,2768,93,1036,1,29
m407279,273,157,1544,388,77,621,0,27
x083535,1621,182,1380,2550,108,958,0,70
m412326,45,0,1250,404,60,578,0,21
5912154,171,16,1183,470,75,746,0,2
e2907108,2,1,1026,0,0,505,0,0
klm31215,397,62,1007,967,52,690,0,12
klm37586,569,299,896,958,111,715,11,90
e6380957,276,12,842,843,19,420,3,12
m412888,57,27,764,314,35,443,1,6
8747203,35,7,751,256,1,312,0,6
x092686,258,12,742,1317,237,282,1,39
m405991,30,0,689,42,0,477,0,2
x083052,228,37,573,1440,28,206,0,10
klm25424,97,3,520,457,13,292,4,13
klm42461,192,14,489,491,5,391,0,4
e1435646,87,26,431,434,5,116,0,50
klm47759,167,5,428,1361,50,191,10,19
e5415079,89,40,427,140,0,298,0,11
m080722,15,8,409,44,0,276,0,1
4297193,168,145,401,384,43,115,5,12
x080162,50,42,385,208,14,269,0,7
m123066,91,56,364,291,18,263,0,11
klm41007,110,10,362,355,4,189,0,11
x083297,107,17,325,382,18,144,1,16
m412806,156,107,318,87,7,167,0,24
m413938,8,0,308,11,16,129,1,2
2907108,7,7,299,9,0,154,0,0
x075004,31,0,299,49,4,235,0,2
x074201,40,3,233,127,5,180,0,8
klm25969,161,76,226,218,14,63,0,6
m094442,3,0,199,8,0,129,0,0
m406139,19,19,135,323,0,57,1,3
klm05247,67,1,124,175,5,80,0,1
e2805579,10,9,108,75,0,69,0,2
e1915959,2,0,99,0,0,68,0,0
nimassip,28,5,51,77,4,15,0,4
klm22366,29,4,32,63,4,22,12,4
x093238,60,0,27,229,6,5,0,1
m123141,6,5,23,12,0,16,0,0
e4377411,2,0,22,0,0,15,0,0
m349531,8,1,12,89,4,0,0,0
6380957,13,2,8,14,1,5,0,3
m405155,21,0,7,212,6,11,0,12
7930654,8,0,7,6,2,4,0,0
3132869,4,3,7,42,0,0,0,0
m312823,7,5,5,24,1,1,0,0
m415501,8,0,5,9,2,1,0,0
m329997,7,7,4,0,4,4,0,4
m312812,12,3,3,52,0,0,0,0
x082942,4,2,3,12,0,2,0,0
klm64384,19,4,2,33,1,1,0,1
ex4v5,6,0,2,4,0,1,0,0
m415619,2,1,1,0,1,0,0,0
m408461,31,0,1,39,0,0,0,0
klm63827,18,3,0,0,0,0,0,0
klm02028,2,2,0,0,0,0,0,0
ex1h5,27,8,0,0,0,0,0,0
m077325,2,0,0,22,0,0,0,0
exq81,53,15,0,0,0,0,0,0
3170903,193,144,0,3,0,0,0,0
ext97,66,47,0,0,0,0,0,0
exo70,15,6,0,0,0,0,0,0
